Gene,Count
V1rd18,4
V1rd19,4
Vmn1r183,4
Nlrp5Ceacam20,4
1190007I07Rik&1500009L16Rik&1500026H17Rik&1600002K03Rik&1700009J07Rik&1700017N19Rik&1700028I16Rik&1700094J05Rik&1700113H08Rik&1810014B01Rik&1810043G02Rik&2310011J03Rik&2310039L15Rik&2610008E11Rik&2610028H24Rik&4930404N11Rik&4930430F08Rik&4930459C07Rik&4930463O16Rik&4930473O22Rik&4930483K19Rik&4930486F22Rik&4930525C09Rik&4930556N09Rik&4933407G14Rik&4933408J17Rik&5730420D15Rik&A230046K03Rik&A330049N07Rik&AU041133&Abca7&Abhd17a&Actr6&Adamtsl5&Adarb1&Adat3&Adora2a&Aes&Agpat3&Aire&Aldh1l2&Alx1&Amdhd1&Amh&Ankrd24&Anks1b&Ano4&Ap3d1&Apaf1&Apba3&Apc2&Appl2&Arid3a&Arl1&Ascl1&Ascl4&Atcay&Atcayos&Atp2b1&Atp5d&Atp8b3&BC025920&Bc1&Bcr&Bpifc&Bsg&Btbd11&Btbd2&Btg1&C2cd4c&Cabin1&Cactin&Casp14&Cbarp&Ccdc105&Ccdc38&Ccdc53&Ccer1&Cdc34&Cdk17&Celf5&Cep290&Cep83&Cep83os&Cfd&Chchd10&Chpt1&Chst11&Cirbp&Ckap4&Cnn2&Col18a1&Col6a1&Col6a2&Cradd&Creb3l3&Cry1&Csl&Csnk1g2&Cstb&D10Jhu81e&D10Wsu102e&Dapk3&Dazap1&Dcn&Ddt&Derl3&Dip2a&Diras1&Dnmt3l&Dohh&Dot1l&Dram1&Dusp6&E130317F20Rik&Eea1&Eef2&Efna2&Eid3&Elane&Elk3&Epyc&Fam207a&Fbxo7&Fgd6&Fgf22&Fhl4&Fstl3&Ftcd&Fzr1&Gadd45b&Galnt4&Gamt&Gas2l3&Ggt1&Ggt5&Gipc3&Glt8d2&Gm10024&Gm10100&Gm10142&Gm10272&Gm10318&Gm10754&Gm10778&Gm10778&Gm10787&Gm10941&Gm1553&Gm15915&Gm17745&Gm17769&Gm18409&Gm19402&Gm19668&Gm20110&Gm20757&Gm2696&Gm29684&Gm3238&Gm3285&Gm4301&Gm4301&Gm4301&Gm4302&Gm4303&Gm4303&Gm4303&Gm4303&Gm4305&Gm4305&Gm4305&Gm4305&Gm4307&Gm4307&Gm4307&Gm4307&Gm4312&Gm4312&Gm4312&Gm4792&Gm4925&Gm5134&Gm5779&Gm8580&Gm8633&Gm867&Gm9855&Gna11&Gna15&Gnaz&Gng7&Gnptab&Gpx4&Grin3b&Gstt1&Gstt2&Gstt3&Gstt4&Gucd1&Gzmm&Hal&Hcfc2&Hcn2&Hmg20b&Hmha1&Hsp90b1&Icosl&Igf1&Ikbip&Ilvbl&Itgb2&Izumo4&Jsrp1&Kera&Kiss1r&Kitl&Klf16&Krtap10-10&Krtap10-4&Krtap12-1&Lingo3&Lmnb2&Lrrc3&Lrrc75b&Lrriq1&Lsm7&Lss&Lta4h&Lum&Madcam1&Map2k2&Matk&Mbd3&Mcm3ap&Med16&Metap2&Mex3d&Mfsd12&Mgat4c&Midn&Mier2&Mif&Mir1191b&Mir1251&Mir135a-2&Mir1930&Mir1931&Mir1982&Mir3057&Mir3058&Mir3059&Mir331&Mir3966&Mir5615-1&Mir5615-2&Mir6409&Mir6410&Mir678&Mir6907&Mir6908&Mir6909&Mir6910&Mir6911&Mir6912&Mir6913&Mir7211&Mir7659&Mir7688&Misp&Mknk2&Mmp11&Mob3a&Mrpl42&Mrpl54&Mterf2&Mum1&Mybpc1&Ncln&Ndufa12&Ndufs7&Nedd1&Nfic&Nfyb&Nmrk2&Nr1h4&Nr2c1&Nt5dc3&Ntn4&Nts&Nuak1&Nudt4&Nup37&Oaz1&Oaz1-ps&Odf3l2&Olfr1351&Olfr1352&Olfr1353&Olfr1354&Olfr1355&Olfr1356&Olfr1357&Olfr57&Olfr8&Onecut3&Pah&Palm&Parpbp&Pcbp3&Pcdh15&Pcnt&Pcsk4&Pdxk&Pfkl&Pias4&Pip5k1c&Platr7&Plekhj1&Plk5&Plpp2&Plppr3&Plxnc1&Pmch&Poc1b&Pofut2&Polr2e&Polr3b&Polrmt&Prdm4&Prmt2&Prss57&Prtn3&Ptbp1&Pttg1ip&Pwp1&Pwp2&R3hdm4&Rab36&Rassf9&Reep6&Rexo1&Rfx4&Ric8b&Rmst&Rnf126&Rps15&Rrp1&Rsph14&Rtcb&S100b&S1pr4&Sbno2&Scamp4&Scyl2&Sf3a2&Sgta&Shc2&Sirt6&Slc17a8&Slc19a1&Slc1a6&Slc25a3&Slc39a3&Slc41a2&Slc5a4a&Slc5a4b&Slc5a8&Slc6a15&Smarcb1&Smim24&Snord37&Snrpd3&Snrpf&Socs2&Spatc1l&Specc1l&Spic&Sppl2b&Stab2&Stk11&Sumo3&Susd2&Sycp3&Syde1&Syn3&Tbxa2r&Tcf3&Tcp11l2&Tdg&Theg&Thop1&Timm13&Timp3&Tjp3&Tle2&Tle6&Tmcc3&Tmem259&Tmem263&Tmpo&Tmprss9&Tmtc3&Tpgs1&Trappc10&Trpm2&Tspear&Ttc41&Txnrd1&Tyms-ps&Ube2g2&Ube2n&Uhrf1bp1l&Upb1&Uqcr11&Usp44&Utp20&Vezt&Vmn2r80&Vmn2r81&Vmn2r82&Vmn2r83&Vpreb3&Wdr18&Ybey&Zbtb7a&Zfp280b&Zfp433&Zfp433&Zfp781&Zfp781&Zfp873&Zfp938&Zfr2&Zwint,4
Acvr2a,4
Orc4,4
Mbd5,4
Epc2,4
Kif5c,4
