Array	Sample	Batch	Covariate
MB-6100	Her2	2	group 5
MB-6105	Her2	2	group 5
MB-6113	Her2	2	group 5
MB-6114	Her2	2	group 5
MB-6116	Her2	2	group 5
MB-6131	Her2	2	group 5
MB-6146	Her2	2	group 5
MB-6156	Her2	2	group 5
MB-6160	Her2	2	group 5
MB-6182	Her2	2	group 5
MB-6184	Her2	2	group 5
MB-6224	Her2	2	group 5
MB-6246	Her2	2	group 5
MB-6314	Her2	2	group 5
MB-6318	Her2	2	group 5
MB-6330	Her2	2	group 5
MB-6334	Her2	2	group 5
MB-6358	Her2	2	group 5
MB-6359	Her2	2	group 5
MB-7018	Her2	2	group 5
MB-7020	Her2	2	group 5
MB-7027	Her2	2	group 5
MB-7035	Her2	2	group 5
MB-7045	Her2	2	group 5
MB-7046	Her2	2	group 5
MB-7048	Her2	2	group 5
MB-7050	Her2	2	group 5
MB-7051	Her2	2	group 5
MB-7059	Her2	2	group 5
MB-7066	Her2	2	group 5
MB-7067	Her2	2	group 5
MB-7068	Her2	2	group 5
MB-7069	Her2	2	group 5
MB-7070	Her2	2	group 5
MB-7071	Her2	2	group 5
MB-7082	Her2	2	group 5
MB-7088	Her2	2	group 5
MB-7092	Her2	2	group 5
MB-7115	Her2	2	group 5
MB-7135	Her2	2	group 5
MB-7143	Her2	2	group 5
MB-7152	Her2	2	group 5
MB-7153	Her2	2	group 5
MB-7160	Her2	2	group 5
MB-7167	Her2	2	group 5
MB-7182	Her2	2	group 5
MB-7196	Her2	2	group 5
MB-7207	Her2	2	group 5
MB-7233	Her2	2	group 5
MB-7238	Her2	2	group 5
MB-7250	Her2	2	group 5
MB-7251	Her2	2	group 5
MB-7252	Her2	2	group 5
MB-7256	Her2	2	group 5
MB-7260	Her2	2	group 5
MB-7262	Her2	2	group 5
MB-7273	Her2	2	group 5
MB-7275	Her2	2	group 5
MB-7279	Her2	2	group 5
MB-7281	Her2	2	group 5
MB-0002	LumA	2	group 6
MB-0036	LumA	2	group 6
MB-0046	LumA	2	group 6
MB-0068	LumA	2	group 6
MB-0097	LumA	2	group 6
MB-0106	LumA	2	group 6
MB-0111	LumA	2	group 6
MB-0112	LumA	2	group 6
MB-0114	LumA	2	group 6
MB-0117	LumA	2	group 6
MB-0121	LumA	2	group 6
MB-0122	LumA	2	group 6
MB-0124	LumA	2	group 6
MB-0126	LumA	2	group 6
MB-0130	LumA	2	group 6
MB-0131	LumA	2	group 6
MB-0133	LumA	2	group 6
MB-0136	LumA	2	group 6
MB-0138	LumA	2	group 6
MB-0139	LumA	2	group 6
MB-0142	LumA	2	group 6
MB-0143	LumA	2	group 6
MB-0145	LumA	2	group 6
MB-0147	LumA	2	group 6
MB-0154	LumA	2	group 6
MB-0162	LumA	2	group 6
MB-0165	LumA	2	group 6
MB-0166	LumA	2	group 6
MB-0170	LumA	2	group 6
MB-0172	LumA	2	group 6
MB-0175	LumA	2	group 6
MB-0176	LumA	2	group 6
MB-0177	LumA	2	group 6
MB-0180	LumA	2	group 6
MB-0181	LumA	2	group 6
MB-0184	LumA	2	group 6
MB-0194	LumA	2	group 6
MB-0199	LumA	2	group 6
MB-0202	LumA	2	group 6
MB-0203	LumA	2	group 6
MB-0204	LumA	2	group 6
MB-0207	LumA	2	group 6
MB-0223	LumA	2	group 6
MB-0224	LumA	2	group 6
MB-0226	LumA	2	group 6
MB-0227	LumA	2	group 6
MB-0229	LumA	2	group 6
MB-0231	LumA	2	group 6
MB-0232	LumA	2	group 6
MB-0233	LumA	2	group 6
MB-0235	LumA	2	group 6
MB-0236	LumA	2	group 6
MB-0239	LumA	2	group 6
MB-0245	LumA	2	group 6
MB-0247	LumA	2	group 6
MB-0248	LumA	2	group 6
MB-0256	LumA	2	group 6
MB-0257	LumA	2	group 6
MB-0258	LumA	2	group 6
MB-0260	LumA	2	group 6
MB-0263	LumA	2	group 6
MB-0266	LumA	2	group 6
MB-0273	LumA	2	group 6
MB-0290	LumA	2	group 6
MB-0295	LumA	2	group 6
MB-0301	LumA	2	group 6
MB-0302	LumA	2	group 6
MB-0306	LumA	2	group 6
MB-0308	LumA	2	group 6
MB-0309	LumA	2	group 6
MB-0310	LumA	2	group 6
MB-0315	LumA	2	group 6
MB-0317	LumA	2	group 6
MB-0320	LumA	2	group 6
MB-0321	LumA	2	group 6
MB-0322	LumA	2	group 6
MB-0324	LumA	2	group 6
MB-0341	LumA	2	group 6
MB-0345	LumA	2	group 6
MB-0348	LumA	2	group 6
MB-0353	LumA	2	group 6
MB-0356	LumA	2	group 6
MB-0358	LumA	2	group 6
MB-0359	LumA	2	group 6
MB-0362	LumA	2	group 6
MB-0364	LumA	2	group 6
MB-0366	LumA	2	group 6
MB-0377	LumA	2	group 6
MB-0379	LumA	2	group 6
MB-0382	LumA	2	group 6
MB-0386	LumA	2	group 6
MB-0394	LumA	2	group 6
MB-0397	LumA	2	group 6
MB-0404	LumA	2	group 6
MB-0410	LumA	2	group 6
MB-0411	LumA	2	group 6
MB-0413	LumA	2	group 6
MB-0419	LumA	2	group 6
MB-0422	LumA	2	group 6
MB-0425	LumA	2	group 6
MB-0427	LumA	2	group 6
MB-0428	LumA	2	group 6
MB-0431	LumA	2	group 6
MB-0445	LumA	2	group 6
MB-0449	LumA	2	group 6
MB-0451	LumA	2	group 6
MB-0454	LumA	2	group 6
MB-0463	LumA	2	group 6
MB-0466	LumA	2	group 6
MB-0468	LumA	2	group 6
MB-0471	LumA	2	group 6
MB-0475	LumA	2	group 6
MB-0480	LumA	2	group 6
MB-0485	LumA	2	group 6
MB-0486	LumA	2	group 6
MB-0490	LumA	2	group 6
MB-0491	LumA	2	group 6
MB-0497	LumA	2	group 6
MB-0501	LumA	2	group 6
MB-0503	LumA	2	group 6
MB-0504	LumA	2	group 6
MB-0505	LumA	2	group 6
MB-0507	LumA	2	group 6
MB-0511	LumA	2	group 6
MB-0512	LumA	2	group 6
MB-0513	LumA	2	group 6
MB-0517	LumA	2	group 6
MB-0521	LumA	2	group 6
MB-0528	LumA	2	group 6
MB-0529	LumA	2	group 6
MB-0535	LumA	2	group 6
MB-0538	LumA	2	group 6
MB-0541	LumA	2	group 6
MB-0553	LumA	2	group 6
MB-0554	LumA	2	group 6
MB-0559	LumA	2	group 6
MB-0568	LumA	2	group 6
MB-0571	LumA	2	group 6
MB-0574	LumA	2	group 6
MB-0575	LumA	2	group 6
MB-0580	LumA	2	group 6
MB-0583	LumA	2	group 6
MB-0586	LumA	2	group 6
MB-0587	LumA	2	group 6
MB-0596	LumA	2	group 6
MB-0599	LumA	2	group 6
MB-0600	LumA	2	group 6
MB-0603	LumA	2	group 6
MB-0605	LumA	2	group 6
MB-0607	LumA	2	group 6
MB-0609	LumA	2	group 6
MB-0614	LumA	2	group 6
MB-0621	LumA	2	group 6
MB-0624	LumA	2	group 6
MB-0631	LumA	2	group 6
MB-0632	LumA	2	group 6
MB-0636	LumA	2	group 6
MB-0642	LumA	2	group 6
MB-0649	LumA	2	group 6
MB-0650	LumA	2	group 6
MB-0654	LumA	2	group 6
MB-0661	LumA	2	group 6
MB-0666	LumA	2	group 6
MB-0880	LumA	2	group 6
MB-0891	LumA	2	group 6
MB-0899	LumA	2	group 6
MB-0904	LumA	2	group 6
MB-2513	LumA	2	group 6
MB-2536	LumA	2	group 6
MB-2564	LumA	2	group 6
MB-2610	LumA	2	group 6
MB-2614	LumA	2	group 6
MB-2624	LumA	2	group 6
MB-2669	LumA	2	group 6
MB-2711	LumA	2	group 6
MB-2712	LumA	2	group 6
MB-2721	LumA	2	group 6
MB-2725	LumA	2	group 6
MB-2745	LumA	2	group 6
MB-2747	LumA	2	group 6
MB-2749	LumA	2	group 6
MB-2750	LumA	2	group 6
MB-2752	LumA	2	group 6
MB-2770	LumA	2	group 6
MB-2779	LumA	2	group 6
MB-2786	LumA	2	group 6
MB-2790	LumA	2	group 6
MB-2791	LumA	2	group 6
MB-2797	LumA	2	group 6
MB-2801	LumA	2	group 6
MB-2819	LumA	2	group 6
MB-2820	LumA	2	group 6
MB-2835	LumA	2	group 6
MB-2838	LumA	2	group 6
MB-2840	LumA	2	group 6
MB-2843	LumA	2	group 6
MB-2848	LumA	2	group 6
MB-2851	LumA	2	group 6
MB-2854	LumA	2	group 6
MB-2863	LumA	2	group 6
MB-2867	LumA	2	group 6
MB-2916	LumA	2	group 6
MB-2927	LumA	2	group 6
MB-2933	LumA	2	group 6
MB-2944	LumA	2	group 6
MB-2947	LumA	2	group 6
MB-2951	LumA	2	group 6
MB-2952	LumA	2	group 6
MB-2960	LumA	2	group 6
MB-2966	LumA	2	group 6
MB-2969	LumA	2	group 6
MB-2970	LumA	2	group 6
MB-2971	LumA	2	group 6
MB-2977	LumA	2	group 6
MB-2990	LumA	2	group 6
MB-2994	LumA	2	group 6
MB-2996	LumA	2	group 6
MB-2999	LumA	2	group 6
MB-3002	LumA	2	group 6
MB-3005	LumA	2	group 6
MB-3008	LumA	2	group 6
MB-3021	LumA	2	group 6
MB-3026	LumA	2	group 6
MB-3032	LumA	2	group 6
MB-3033	LumA	2	group 6
MB-3035	LumA	2	group 6
MB-3037	LumA	2	group 6
MB-3049	LumA	2	group 6
MB-3064	LumA	2	group 6
MB-3079	LumA	2	group 6
MB-3088	LumA	2	group 6
MB-3102	LumA	2	group 6
MB-3104	LumA	2	group 6
MB-3105	LumA	2	group 6
MB-3110	LumA	2	group 6
MB-3121	LumA	2	group 6
MB-3167	LumA	2	group 6
MB-3171	LumA	2	group 6
MB-3222	LumA	2	group 6
MB-3228	LumA	2	group 6
MB-3252	LumA	2	group 6
MB-3254	LumA	2	group 6
MB-3298	LumA	2	group 6
MB-3328	LumA	2	group 6
MB-3341	LumA	2	group 6
MB-3344	LumA	2	group 6
MB-3351	LumA	2	group 6
MB-3365	LumA	2	group 6
MB-3378	LumA	2	group 6
MB-3379	LumA	2	group 6
MB-3381	LumA	2	group 6
MB-3403	LumA	2	group 6
MB-3412	LumA	2	group 6
MB-3430	LumA	2	group 6
MB-3439	LumA	2	group 6
MB-3450	LumA	2	group 6
MB-3462	LumA	2	group 6
MB-3510	LumA	2	group 6
MB-3545	LumA	2	group 6
MB-3548	LumA	2	group 6
MB-3711	LumA	2	group 6
MB-3748	LumA	2	group 6
MB-3781	LumA	2	group 6
MB-3797	LumA	2	group 6
MB-3850	LumA	2	group 6
MB-3852	LumA	2	group 6
MB-3854	LumA	2	group 6
MB-3871	LumA	2	group 6
MB-3874	LumA	2	group 6
MB-4000	LumA	2	group 6
MB-4001	LumA	2	group 6
MB-4011	LumA	2	group 6
MB-4018	LumA	2	group 6
MB-4033	LumA	2	group 6
MB-4091	LumA	2	group 6
MB-4120	LumA	2	group 6
MB-4140	LumA	2	group 6
MB-4173	LumA	2	group 6
MB-4212	LumA	2	group 6
MB-4230	LumA	2	group 6
MB-4234	LumA	2	group 6
MB-4250	LumA	2	group 6
MB-4264	LumA	2	group 6
MB-4266	LumA	2	group 6
MB-4282	LumA	2	group 6
MB-4283	LumA	2	group 6
MB-4292	LumA	2	group 6
MB-4293	LumA	2	group 6
MB-4306	LumA	2	group 6
MB-4310	LumA	2	group 6
MB-4313	LumA	2	group 6
MB-4322	LumA	2	group 6
MB-4323	LumA	2	group 6
MB-4328	LumA	2	group 6
MB-4329	LumA	2	group 6
MB-4333	LumA	2	group 6
MB-4342	LumA	2	group 6
MB-4357	LumA	2	group 6
MB-4368	LumA	2	group 6
MB-4374	LumA	2	group 6
MB-4390	LumA	2	group 6
MB-4418	LumA	2	group 6
MB-4421	LumA	2	group 6
MB-4442	LumA	2	group 6
MB-4529	LumA	2	group 6
MB-4557	LumA	2	group 6
MB-4564	LumA	2	group 6
MB-4578	LumA	2	group 6
MB-4593	LumA	2	group 6
MB-4599	LumA	2	group 6
MB-4607	LumA	2	group 6
MB-4616	LumA	2	group 6
MB-4623	LumA	2	group 6
MB-4627	LumA	2	group 6
MB-4633	LumA	2	group 6
MB-4634	LumA	2	group 6
MB-4641	LumA	2	group 6
MB-4655	LumA	2	group 6
MB-4661	LumA	2	group 6
MB-4665	LumA	2	group 6
MB-4666	LumA	2	group 6
MB-4670	LumA	2	group 6
MB-4672	LumA	2	group 6
MB-4674	LumA	2	group 6
MB-4675	LumA	2	group 6
MB-4681	LumA	2	group 6
MB-4682	LumA	2	group 6
MB-4686	LumA	2	group 6
MB-4687	LumA	2	group 6
MB-4691	LumA	2	group 6
MB-4692	LumA	2	group 6
MB-4698	LumA	2	group 6
MB-4701	LumA	2	group 6
MB-4704	LumA	2	group 6
MB-4705	LumA	2	group 6
MB-4706	LumA	2	group 6
MB-4708	LumA	2	group 6
MB-4709	LumA	2	group 6
MB-4710	LumA	2	group 6
MB-4716	LumA	2	group 6
MB-4719	LumA	2	group 6
MB-4721	LumA	2	group 6
MB-4722	LumA	2	group 6
MB-4729	LumA	2	group 6
MB-4730	LumA	2	group 6
MB-4735	LumA	2	group 6
MB-4739	LumA	2	group 6
MB-4742	LumA	2	group 6
MB-4749	LumA	2	group 6
MB-4752	LumA	2	group 6
MB-4760	LumA	2	group 6
MB-4762	LumA	2	group 6
MB-4764	LumA	2	group 6
MB-4771	LumA	2	group 6
MB-4778	LumA	2	group 6
MB-4779	LumA	2	group 6
MB-4785	LumA	2	group 6
MB-4787	LumA	2	group 6
MB-4790	LumA	2	group 6
MB-4794	LumA	2	group 6
MB-4797	LumA	2	group 6
MB-4800	LumA	2	group 6
MB-4801	LumA	2	group 6
MB-4805	LumA	2	group 6
MB-4806	LumA	2	group 6
MB-4820	LumA	2	group 6
MB-4822	LumA	2	group 6
MB-4825	LumA	2	group 6
MB-4827	LumA	2	group 6
MB-4832	LumA	2	group 6
MB-4843	LumA	2	group 6
MB-4845	LumA	2	group 6
MB-4849	LumA	2	group 6
MB-4851	LumA	2	group 6
MB-4853	LumA	2	group 6
MB-4855	LumA	2	group 6
MB-4858	LumA	2	group 6
MB-4860	LumA	2	group 6
MB-4866	LumA	2	group 6
MB-4867	LumA	2	group 6
MB-4869	LumA	2	group 6
MB-4870	LumA	2	group 6
MB-4872	LumA	2	group 6
MB-4878	LumA	2	group 6
MB-4882	LumA	2	group 6
MB-4883	LumA	2	group 6
MB-4894	LumA	2	group 6
MB-4898	LumA	2	group 6
MB-4899	LumA	2	group 6
MB-4906	LumA	2	group 6
MB-4933	LumA	2	group 6
MB-4941	LumA	2	group 6
MB-4950	LumA	2	group 6
MB-4959	LumA	2	group 6
MB-4961	LumA	2	group 6
MB-4962	LumA	2	group 6
MB-4965	LumA	2	group 6
MB-4967	LumA	2	group 6
MB-4968	LumA	2	group 6
MB-4969	LumA	2	group 6
MB-4976	LumA	2	group 6
MB-4977	LumA	2	group 6
MB-4981	LumA	2	group 6
MB-4986	LumA	2	group 6
MB-4987	LumA	2	group 6
MB-4992	LumA	2	group 6
MB-4996	LumA	2	group 6
MB-4999	LumA	2	group 6
MB-5001	LumA	2	group 6
MB-5011	LumA	2	group 6
MB-5013	LumA	2	group 6
MB-5015	LumA	2	group 6
MB-5018	LumA	2	group 6
MB-5020	LumA	2	group 6
MB-5027	LumA	2	group 6
MB-5035	LumA	2	group 6
MB-5043	LumA	2	group 6
MB-5045	LumA	2	group 6
MB-5048	LumA	2	group 6
MB-5050	LumA	2	group 6
MB-5053	LumA	2	group 6
MB-5059	LumA	2	group 6
MB-5064	LumA	2	group 6
MB-5066	LumA	2	group 6
MB-5068	LumA	2	group 6
MB-5074	LumA	2	group 6
MB-5079	LumA	2	group 6
MB-5084	LumA	2	group 6
MB-5086	LumA	2	group 6
MB-5088	LumA	2	group 6
MB-5092	LumA	2	group 6
MB-5098	LumA	2	group 6
MB-5105	LumA	2	group 6
MB-5117	LumA	2	group 6
MB-5118	LumA	2	group 6
MB-5119	LumA	2	group 6
MB-5122	LumA	2	group 6
MB-5123	LumA	2	group 6
MB-5130	LumA	2	group 6
MB-5134	LumA	2	group 6
MB-5143	LumA	2	group 6
MB-5147	LumA	2	group 6
MB-5152	LumA	2	group 6
MB-5163	LumA	2	group 6
MB-5179	LumA	2	group 6
MB-5182	LumA	2	group 6
MB-5183	LumA	2	group 6
MB-5184	LumA	2	group 6
MB-5185	LumA	2	group 6
MB-5186	LumA	2	group 6
MB-5189	LumA	2	group 6
MB-5191	LumA	2	group 6
MB-5193	LumA	2	group 6
MB-5195	LumA	2	group 6
MB-5196	LumA	2	group 6
MB-5197	LumA	2	group 6
MB-5201	LumA	2	group 6
MB-5204	LumA	2	group 6
MB-5206	LumA	2	group 6
MB-5221	LumA	2	group 6
MB-5224	LumA	2	group 6
MB-5227	LumA	2	group 6
MB-5230	LumA	2	group 6
MB-5240	LumA	2	group 6
MB-5251	LumA	2	group 6
MB-5253	LumA	2	group 6
MB-5256	LumA	2	group 6
MB-5264	LumA	2	group 6
MB-5267	LumA	2	group 6
MB-5268	LumA	2	group 6
MB-5270	LumA	2	group 6
MB-5279	LumA	2	group 6
MB-5281	LumA	2	group 6
MB-5284	LumA	2	group 6
MB-5287	LumA	2	group 6
MB-5290	LumA	2	group 6
MB-5293	LumA	2	group 6
MB-5300	LumA	2	group 6
MB-5305	LumA	2	group 6
MB-5306	LumA	2	group 6
MB-5310	LumA	2	group 6
MB-5322	LumA	2	group 6
MB-5324	LumA	2	group 6
MB-5329	LumA	2	group 6
MB-5330	LumA	2	group 6
MB-5331	LumA	2	group 6
MB-5334	LumA	2	group 6
MB-5358	LumA	2	group 6
MB-5360	LumA	2	group 6
MB-5361	LumA	2	group 6
MB-5365	LumA	2	group 6
MB-5369	LumA	2	group 6
MB-5382	LumA	2	group 6
MB-5383	LumA	2	group 6
MB-5384	LumA	2	group 6
MB-5388	LumA	2	group 6
MB-5389	LumA	2	group 6
MB-5395	LumA	2	group 6
MB-5397	LumA	2	group 6
MB-5398	LumA	2	group 6
MB-5399	LumA	2	group 6
MB-5401	LumA	2	group 6
MB-5402	LumA	2	group 6
MB-5403	LumA	2	group 6
MB-5404	LumA	2	group 6
MB-5407	LumA	2	group 6
MB-5410	LumA	2	group 6
MB-5412	LumA	2	group 6
MB-5422	LumA	2	group 6
MB-5424	LumA	2	group 6
MB-5425	LumA	2	group 6
MB-5428	LumA	2	group 6
MB-5429	LumA	2	group 6
MB-5432	LumA	2	group 6
MB-5433	LumA	2	group 6
MB-5444	LumA	2	group 6
MB-5451	LumA	2	group 6
MB-5452	LumA	2	group 6
MB-5455	LumA	2	group 6
MB-5457	LumA	2	group 6
MB-5464	LumA	2	group 6
MB-5471	LumA	2	group 6
MB-5472	LumA	2	group 6
MB-5473	LumA	2	group 6
MB-5478	LumA	2	group 6
MB-5484	LumA	2	group 6
MB-5489	LumA	2	group 6
MB-5490	LumA	2	group 6
MB-5492	LumA	2	group 6
MB-5495	LumA	2	group 6
MB-5499	LumA	2	group 6
MB-5510	LumA	2	group 6
MB-5514	LumA	2	group 6
MB-5519	LumA	2	group 6
MB-5520	LumA	2	group 6
MB-5532	LumA	2	group 6
MB-5541	LumA	2	group 6
MB-5543	LumA	2	group 6
MB-5550	LumA	2	group 6
MB-5554	LumA	2	group 6
MB-5563	LumA	2	group 6
MB-5567	LumA	2	group 6
MB-5571	LumA	2	group 6
MB-5579	LumA	2	group 6
MB-5580	LumA	2	group 6
MB-5582	LumA	2	group 6
MB-5583	LumA	2	group 6
MB-5589	LumA	2	group 6
MB-5591	LumA	2	group 6
MB-5596	LumA	2	group 6
MB-5597	LumA	2	group 6
MB-5599	LumA	2	group 6
MB-5601	LumA	2	group 6
MB-5603	LumA	2	group 6
MB-5614	LumA	2	group 6
MB-5617	LumA	2	group 6
MB-5620	LumA	2	group 6
MB-5626	LumA	2	group 6
MB-5629	LumA	2	group 6
MB-5635	LumA	2	group 6
MB-5638	LumA	2	group 6
MB-5642	LumA	2	group 6
MB-5645	LumA	2	group 6
MB-5647	LumA	2	group 6
MB-6001	LumA	2	group 6
MB-6006	LumA	2	group 6
MB-6012	LumA	2	group 6
MB-6016	LumA	2	group 6
MB-6017	LumA	2	group 6
MB-6018	LumA	2	group 6
MB-6021	LumA	2	group 6
MB-6024	LumA	2	group 6
MB-6029	LumA	2	group 6
MB-6030	LumA	2	group 6
MB-6050	LumA	2	group 6
MB-6051	LumA	2	group 6
MB-6065	LumA	2	group 6
MB-6069	LumA	2	group 6
MB-6071	LumA	2	group 6
MB-6083	LumA	2	group 6
MB-6097	LumA	2	group 6
MB-6108	LumA	2	group 6
MB-6118	LumA	2	group 6
MB-6124	LumA	2	group 6
MB-6133	LumA	2	group 6
MB-6149	LumA	2	group 6
MB-6163	LumA	2	group 6
MB-6167	LumA	2	group 6
MB-6168	LumA	2	group 6
MB-6171	LumA	2	group 6
MB-6179	LumA	2	group 6
MB-6181	LumA	2	group 6
MB-6185	LumA	2	group 6
MB-6190	LumA	2	group 6
MB-6195	LumA	2	group 6
MB-6200	LumA	2	group 6
MB-6207	LumA	2	group 6
MB-6211	LumA	2	group 6
MB-6212	LumA	2	group 6
MB-6214	LumA	2	group 6
MB-6218	LumA	2	group 6
MB-6225	LumA	2	group 6
MB-6229	LumA	2	group 6
MB-6232	LumA	2	group 6
MB-6238	LumA	2	group 6
MB-6253	LumA	2	group 6
MB-6256	LumA	2	group 6
MB-6263	LumA	2	group 6
MB-6271	LumA	2	group 6
MB-6273	LumA	2	group 6
MB-6283	LumA	2	group 6
MB-6286	LumA	2	group 6
MB-6297	LumA	2	group 6
MB-6308	LumA	2	group 6
MB-6328	LumA	2	group 6
MB-7001	LumA	2	group 6
MB-7004	LumA	2	group 6
MB-7006	LumA	2	group 6
MB-7010	LumA	2	group 6
MB-7013	LumA	2	group 6
MB-7029	LumA	2	group 6
MB-7032	LumA	2	group 6
MB-7034	LumA	2	group 6
MB-7037	LumA	2	group 6
MB-7040	LumA	2	group 6
MB-7041	LumA	2	group 6
MB-7053	LumA	2	group 6
MB-7056	LumA	2	group 6
MB-7060	LumA	2	group 6
MB-7062	LumA	2	group 6
MB-7063	LumA	2	group 6
MB-7076	LumA	2	group 6
MB-7077	LumA	2	group 6
MB-7080	LumA	2	group 6
MB-7091	LumA	2	group 6
MB-7093	LumA	2	group 6
MB-7095	LumA	2	group 6
MB-7096	LumA	2	group 6
MB-7101	LumA	2	group 6
MB-7106	LumA	2	group 6
MB-7107	LumA	2	group 6
MB-7113	LumA	2	group 6
MB-7118	LumA	2	group 6
MB-7123	LumA	2	group 6
MB-7124	LumA	2	group 6
MB-7128	LumA	2	group 6
MB-7137	LumA	2	group 6
MB-7141	LumA	2	group 6
MB-7161	LumA	2	group 6
MB-7162	LumA	2	group 6
MB-7163	LumA	2	group 6
MB-7164	LumA	2	group 6
MB-7168	LumA	2	group 6
MB-7170	LumA	2	group 6
MB-7173	LumA	2	group 6
MB-7176	LumA	2	group 6
MB-7185	LumA	2	group 6
MB-7195	LumA	2	group 6
MB-7212	LumA	2	group 6
MB-7217	LumA	2	group 6
MB-7218	LumA	2	group 6
MB-7219	LumA	2	group 6
MB-7229	LumA	2	group 6
MB-7230	LumA	2	group 6
MB-7231	LumA	2	group 6
MB-7232	LumA	2	group 6
MB-7235	LumA	2	group 6
MB-7243	LumA	2	group 6
MB-7244	LumA	2	group 6
MB-7249	LumA	2	group 6
MB-7254	LumA	2	group 6
MB-7268	LumA	2	group 6
MB-7276	LumA	2	group 6
MB-7277	LumA	2	group 6
MB-7278	LumA	2	group 6
MB-7280	LumA	2	group 6
MB-7284	LumA	2	group 6
MB-7293	LumA	2	group 6
MB-7295	LumA	2	group 6
MB-0005	LumB	2	group 7
MB-0006	LumB	2	group 7
MB-0008	LumB	2	group 7
MB-0010	LumB	2	group 7
MB-0014	LumB	2	group 7
MB-0028	LumB	2	group 7
MB-0039	LumB	2	group 7
MB-0053	LumB	2	group 7
MB-0054	LumB	2	group 7
MB-0056	LumB	2	group 7
MB-0060	LumB	2	group 7
MB-0064	LumB	2	group 7
MB-0066	LumB	2	group 7
MB-0083	LumB	2	group 7
MB-0093	LumB	2	group 7
MB-0095	LumB	2	group 7
MB-0102	LumB	2	group 7
MB-0107	LumB	2	group 7
MB-0119	LumB	2	group 7
MB-0120	LumB	2	group 7
MB-0123	LumB	2	group 7
MB-0125	LumB	2	group 7
MB-0134	LumB	2	group 7
MB-0135	LumB	2	group 7
MB-0140	LumB	2	group 7
MB-0144	LumB	2	group 7
MB-0146	LumB	2	group 7
MB-0151	LumB	2	group 7
MB-0167	LumB	2	group 7
MB-0173	LumB	2	group 7
MB-0178	LumB	2	group 7
MB-0193	LumB	2	group 7
MB-0195	LumB	2	group 7
MB-0197	LumB	2	group 7
MB-0198	LumB	2	group 7
MB-0215	LumB	2	group 7
MB-0218	LumB	2	group 7
MB-0225	LumB	2	group 7
MB-0234	LumB	2	group 7
MB-0242	LumB	2	group 7
MB-0243	LumB	2	group 7
MB-0261	LumB	2	group 7
MB-0268	LumB	2	group 7
MB-0270	LumB	2	group 7
MB-0272	LumB	2	group 7
MB-0287	LumB	2	group 7
MB-0291	LumB	2	group 7
MB-0304	LumB	2	group 7
MB-0311	LumB	2	group 7
MB-0312	LumB	2	group 7
MB-0313	LumB	2	group 7
MB-0319	LumB	2	group 7
MB-0325	LumB	2	group 7
MB-0328	LumB	2	group 7
MB-0336	LumB	2	group 7
MB-0339	LumB	2	group 7
MB-0349	LumB	2	group 7
MB-0360	LumB	2	group 7
MB-0363	LumB	2	group 7
MB-0368	LumB	2	group 7
MB-0369	LumB	2	group 7
MB-0370	LumB	2	group 7
MB-0371	LumB	2	group 7
MB-0373	LumB	2	group 7
MB-0374	LumB	2	group 7
MB-0380	LumB	2	group 7
MB-0383	LumB	2	group 7
MB-0384	LumB	2	group 7
MB-0385	LumB	2	group 7
MB-0389	LumB	2	group 7
MB-0398	LumB	2	group 7
MB-0406	LumB	2	group 7
MB-0412	LumB	2	group 7
MB-0429	LumB	2	group 7
MB-0434	LumB	2	group 7
MB-0437	LumB	2	group 7
MB-0439	LumB	2	group 7
MB-0440	LumB	2	group 7
MB-0444	LumB	2	group 7
MB-0452	LumB	2	group 7
MB-0455	LumB	2	group 7
MB-0459	LumB	2	group 7
MB-0465	LumB	2	group 7
MB-0469	LumB	2	group 7
MB-0472	LumB	2	group 7
MB-0474	LumB	2	group 7
MB-0483	LumB	2	group 7
MB-0492	LumB	2	group 7
MB-0514	LumB	2	group 7
MB-0526	LumB	2	group 7
MB-0532	LumB	2	group 7
MB-0536	LumB	2	group 7
MB-0544	LumB	2	group 7
MB-0550	LumB	2	group 7
MB-0569	LumB	2	group 7
MB-0570	LumB	2	group 7
MB-0576	LumB	2	group 7
MB-0577	LumB	2	group 7
MB-0579	LumB	2	group 7
MB-0584	LumB	2	group 7
MB-0585	LumB	2	group 7
MB-0589	LumB	2	group 7
MB-0590	LumB	2	group 7
MB-0591	LumB	2	group 7
MB-0594	LumB	2	group 7
MB-0598	LumB	2	group 7
MB-0601	LumB	2	group 7
MB-0606	LumB	2	group 7
MB-0611	LumB	2	group 7
MB-0616	LumB	2	group 7
MB-0618	LumB	2	group 7
MB-0626	LumB	2	group 7
MB-0630	LumB	2	group 7
MB-0637	LumB	2	group 7
MB-0646	LumB	2	group 7
MB-0877	LumB	2	group 7
MB-0882	LumB	2	group 7
MB-0884	LumB	2	group 7
MB-0895	LumB	2	group 7
MB-2613	LumB	2	group 7
MB-2617	LumB	2	group 7
MB-2618	LumB	2	group 7
MB-2626	LumB	2	group 7
MB-2629	LumB	2	group 7
MB-2634	LumB	2	group 7
MB-2642	LumB	2	group 7
MB-2686	LumB	2	group 7
MB-2705	LumB	2	group 7
MB-2708	LumB	2	group 7
MB-2728	LumB	2	group 7
MB-2730	LumB	2	group 7
MB-2735	LumB	2	group 7
MB-2760	LumB	2	group 7
MB-2763	LumB	2	group 7
MB-2767	LumB	2	group 7
