"","Event","time","n.risk","n.event","surv","std.err","lower","upper"
"847","Unaltered",1,3939,0,0.999242099808523,0.000437741366046524,0.998385160403819,1
"848","Unaltered",1.02,3936,0,0.999242099808523,0.000437741366046524,0.998385160403819,1
"849","Unaltered",1.1,3933,0,0.999242099808523,0.000437741366046524,0.998385160403819,1
"850","Unaltered",1.12,3931,0,0.999242099808523,0.000437741366046524,0.998385160403819,1
"851","Unaltered",1.2,3930,0,0.999242099808523,0.000437741366046524,0.998385160403819,1
"852","Unaltered",1.233333333,3929,0,0.999242099808523,0.000437741366046524,0.998385160403819,1
"853","Unaltered",1.266666667,3928,0,0.999242099808523,0.000437741366046524,0.998385160403819,1
"854","Unaltered",1.3,3927,0,0.999242099808523,0.000437741366046524,0.998385160403819,1
"855","Unaltered",1.31,3926,0,0.999242099808523,0.000437741366046524,0.998385160403819,1
"856","Unaltered",1.4,3925,0,0.999242099808523,0.000437741366046524,0.998385160403819,1
"857","Unaltered",1.433333333,3922,0,0.999242099808523,0.000437741366046524,0.998385160403819,1
"858","Unaltered",1.6,3921,0,0.999242099808523,0.000437741366046524,0.998385160403819,1
"859","Unaltered",1.61,3917,0,0.999242099808523,0.000437741366046524,0.998385160403819,1
"860","Unaltered",1.68,3916,0,0.999242099808523,0.000437741366046524,0.998385160403819,1
"861","Unaltered",1.7,3915,0,0.999242099808523,0.000437741366046524,0.998385160403819,1
"862","Unaltered",1.71,3914,0,0.999242099808523,0.000437741366046524,0.998385160403819,1
"863","Unaltered",1.8,3913,0,0.999242099808523,0.000437741366046524,0.998385160403819,1
"864","Unaltered",1.94,3912,0,0.999242099808523,0.000437741366046524,0.998385160403819,1
"865","Unaltered",2,3911,1,0.998986604513251,0.000506962652152739,0.997994475897484,0.999979719426252
"866","Unaltered",2.1,3908,0,0.998986604513251,0.000506962652152739,0.997994475897484,0.999979719426252
"867","Unaltered",2.3,3907,1,0.99873091303526,0.000567924945700084,0.997619831726187,0.99984323179134
"868","Unaltered",2.4,3904,0,0.99873091303526,0.000567924945700084,0.997619831726187,0.99984323179134
"869","Unaltered",2.5,3903,0,0.99873091303526,0.000567924945700084,0.997619831726187,0.99984323179134
"870","Unaltered",2.533333333,3899,1,0.998474762506141,0.000623165762723274,0.997255987399889,0.999695027112359
"871","Unaltered",2.56,3897,0,0.998474762506141,0.000623165762723274,0.997255987399889,0.999695027112359
"872","Unaltered",2.6,3896,0,0.998474762506141,0.000623165762723274,0.997255987399889,0.999695027112359
"873","Unaltered",2.63,3895,0,0.998474762506141,0.000623165762723274,0.997255987399889,0.999695027112359
"874","Unaltered",2.7,3894,0,0.998474762506141,0.000623165762723274,0.997255987399889,0.999695027112359
"875","Unaltered",2.76,3892,0,0.998474762506141,0.000623165762723274,0.997255987399889,0.999695027112359
