"","Event","time","n.risk","n.event","n.censor","surv","std.err","lower","upper"
"1610","Diploid",70.2,2180,0,1,0.762190163721806,0.00962988243610617,0.747939326583953,0.776712528712134
"1611","Diploid",70.23333333,2179,0,1,0.762190163721806,0.00962988243610617,0.747939326583953,0.776712528712134
"1612","Diploid",70.26666667,2178,0,1,0.762190163721806,0.00962988243610617,0.747939326583953,0.776712528712134
"1613","Diploid",70.3,2177,0,1,0.762190163721806,0.00962988243610617,0.747939326583953,0.776712528712134
"1614","Diploid",70.37,2176,0,1,0.762190163721806,0.00962988243610617,0.747939326583953,0.776712528712134
"1615","Diploid",70.4,2175,1,0,0.761839731462623,0.00964085688757322,0.747579366180336,0.776372118723022
"1616","Diploid",70.46666667,2174,1,0,0.761489299203441,0.00965182894423602,0.747219424422923,0.77603169008779
"1617","Diploid",70.53333333,2173,1,0,0.761138866944258,0.00966279862816413,0.746859501273855,0.775691242844298
"1618","Diploid",70.6,2172,1,1,0.760788434685076,0.00967376596135085,0.746499596695448,0.775350777030229
"1619","Diploid",70.73333333,2170,0,1,0.760788434685076,0.00967376596135085,0.746499596695448,0.775350777030229
"1620","Diploid",70.8,2169,1,1,0.760437679297946,0.00968475118953644,0.746139364022476,0.775009994082857
"1621","Diploid",70.83,2167,0,1,0.760437679297946,0.00968475118953644,0.746139364022476,0.775009994082857
"1622","Diploid",70.9,2166,1,0,0.760086600036959,0.00969575437783097,0.745778802485796,0.774668893283202
"1623","Diploid",70.99,2165,0,1,0.760086600036959,0.00969575437783097,0.745778802485796,0.774668893283202
"1624","Diploid",71,2164,1,1,0.759735358539714,0.00970676541146098,0.74541808551269,0.774327623964849
"1625","Diploid",71.06666667,2162,1,0,0.759383954581093,0.00971778432012036,0.745057212865379,0.773986185916455
"1626","Diploid",71.09,2161,0,1,0.759383954581093,0.00971778432012036,0.745057212865379,0.773986185916455
"1627","Diploid",71.16666667,2160,1,0,0.759032387935453,0.00972881113355807,0.744696184305612,0.773644578926111
"1628","Diploid",71.2,2159,1,1,0.758680821289814,0.00973983566527198,0.744335174331628,0.773302953350069
"1629","Diploid",71.4,2157,1,0,0.758329091655465,0.00975086815613239,0.74397400810189,0.772961158573495
"1630","Diploid",71.46666667,2156,0,1,0.758329091655465,0.00975086815613239,0.74397400810189,0.772961158573495
"1631","Diploid",71.5,2155,0,2,0.758329091655465,0.00975086815613239,0.74397400810189,0.772961158573495
"1632","Diploid",71.6,2153,1,2,0.757976871919443,0.00976192915046838,0.743612334786968,0.772618892247635
"1633","Diploid",71.63333333,2150,2,0,0.757271777154867,0.00978408554234422,0.742888341213434,0.771933698055619
"1634","Diploid",71.7,2148,1,1,0.756919229772579,0.0097951603888828,0.742526372354991,0.771591073031418
"1635","Diploid",71.75,2146,0,1,0.756919229772579,0.0097951603888828,0.742526372354991,0.771591073031418
"1636","Diploid",71.76666667,2145,1,0,0.756566353674783,0.00980625368279006,0.742164069568589,0.771248125560001
"1637","Diploid",71.8,2144,1,0,0.756213477576987,0.00981734477712603,0.741801785383678,0.770905159487181
