"","Event","time","n.risk","n.event","surv","std.err","lower","upper"
"398","WT",19.55,1787,0,0.966480453122102,0.00407068788472037,0.958800162844667,0.974222264935547
"399","WT",19.6,1786,1,0.965939310651149,0.00410903579407103,0.958191299784186,0.97374997254866
"400","WT",19.65,1784,0,0.965939310651149,0.00410903579407103,0.958191299784186,0.97374997254866
"401","WT",19.8,1783,1,0.965397561177985,0.00414715651950166,0.957582347125983,0.973276558330063
"402","WT",19.9,1780,0,0.965397561177985,0.00414715651950166,0.957582347125983,0.973276558330063
"403","WT",19.91,1779,0,0.965397561177985,0.00414715651950166,0.957582347125983,0.973276558330063
"404","WT",19.94,1778,0,0.965397561177985,0.00414715651950166,0.957582347125983,0.973276558330063
"405","WT",19.97,1776,0,0.965397561177985,0.00414715651950166,0.957582347125983,0.973276558330063
"406","WT",19.989,1774,0,0.965397561177985,0.00414715651950166,0.957582347125983,0.973276558330063
"407","WT",20,1773,0,0.965397561177985,0.00414715651950166,0.957582347125983,0.973276558330063
"408","WT",20.07,1772,0,0.965397561177985,0.00414715651950166,0.957582347125983,0.973276558330063
"409","WT",20.1,1770,0,0.965397561177985,0.00414715651950166,0.957582347125983,0.973276558330063
"410","WT",20.11,1769,1,0.964851830504623,0.00418552768434439,0.956969061705369,0.972799531438497
"411","WT",20.17,1766,1,0.964305481789728,0.00422367900392705,0.956355662248026,0.972321385146521
"412","WT",20.2,1765,1,0.963759133074833,0.00426153146229796,0.955742909004208,0.971842592641264
"413","WT",20.24,1763,1,0.963212474462765,0.00429913547433349,0.955130399213149,0.971362938217651
"414","WT",20.3,1760,0,0.963212474462765,0.00429913547433349,0.955130399213149,0.971362938217651
"415","WT",20.37,1759,0,0.963212474462765,0.00429913547433349,0.955130399213149,0.971362938217651
"416","WT",20.4,1756,1,0.96266394799667,0.00433670999983704,0.954516177633599,0.970881267900593
"417","WT",20.43,1754,0,0.96266394799667,0.00433670999983704,0.954516177633599,0.970881267900593
"418","WT",20.5,1752,0,0.96266394799667,0.00433670999983704,0.954516177633599,0.970881267900593
"419","WT",20.57,1751,0,0.96266394799667,0.00433670999983704,0.954516177633599,0.970881267900593
"420","WT",20.6,1749,0,0.96266394799667,0.00433670999983704,0.954516177633599,0.970881267900593
"421","WT",20.7,1746,3,0.961009886230353,0.00444891366208302,0.952666586631426,0.969426255095248
"422","WT",20.73,1740,0,0.961009886230353,0.00444891366208302,0.952666586631426,0.969426255095248
"423","WT",20.8,1739,0,0.961009886230353,0.00444891366208302,0.952666586631426,0.969426255095248
"424","WT",20.86,1738,0,0.961009886230353,0.00444891366208302,0.952666586631426,0.969426255095248
"425","WT",20.9,1735,0,0.961009886230353,0.00444891366208302,0.952666586631426,0.969426255095248
"426","WT",20.99,1734,1,0.96045567060969,0.00448615749149907,0.952047683855699,0.968937912301173
"427","WT",21,1732,1,0.959901135003102,0.00452317968986247,0.951428962484827,0.968448749524942
