"","Event","time","n.risk","n.event","surv","std.err","lower","upper"
"1784","Unaltered",79.33333333,1978,1,0.737193157534843,0.0104744267162852,0.722213242447159,0.752483781209474
"1785","Unaltered",79.36666667,1977,1,0.736820272781411,0.0104866388916796,0.721830657258283,0.752121164323745
"1786","Unaltered",79.4,1976,1,0.73644738802798,0.0104988492071565,0.721448092600062,0.751758526907479
"1787","Unaltered",79.529,1975,0,0.73644738802798,0.0104988492071565,0.721448092600062,0.751758526907479
"1788","Unaltered",79.7,1974,0,0.73644738802798,0.0104988492071565,0.721448092600062,0.751758526907479
"1789","Unaltered",79.8,1972,1,0.736073936005653,0.010511094849449,0.721064940211125,0.751395344652613
"1790","Unaltered",79.86666667,1971,1,0.735700483983326,0.0105233386523408,0.720681808396655,0.7510321418234
"1791","Unaltered",79.96666667,1970,1,0.735327031961,0.0105355806411315,0.720298697116149,0.750668918460342
"1792","Unaltered",80,1969,0,0.735327031961,0.0105355806411315,0.720298697116149,0.750668918460342
"1793","Unaltered",80.153,1968,0,0.735327031961,0.0105355806411315,0.720298697116149,0.750668918460342
"1794","Unaltered",80.2,1967,0,0.735327031961,0.0105355806411315,0.720298697116149,0.750668918460342
"1795","Unaltered",80.22,1966,0,0.735327031961,0.0105355806411315,0.720298697116149,0.750668918460342
"1796","Unaltered",80.23333333,1964,0,0.735327031961,0.0105355806411315,0.720298697116149,0.750668918460342
"1797","Unaltered",80.3,1963,0,0.735327031961,0.0105355806411315,0.720298697116149,0.750668918460342
"1798","Unaltered",80.43333333,1961,1,0.734952056422009,0.0105479208808237,0.719913972828794,0.7503042663785
"1799","Unaltered",80.5,1960,2,0.734202105344027,0.0105725958544634,0.719144586579662,0.749574899889606
"1800","Unaltered",80.66666667,1957,0,0.734202105344027,0.0105725958544634,0.719144586579662,0.749574899889606
"1801","Unaltered",80.7,1956,0,0.734202105344027,0.0105725958544634,0.719144586579662,0.749574899889606
"1802","Unaltered",80.73333333,1954,2,0.733450619054013,0.0105973646891384,0.718373637254009,0.748844031424975
"1803","Unaltered",80.83333333,1952,0,0.733450619054013,0.0105973646891384,0.718373637254009,0.748844031424975
"1804","Unaltered",81,1951,1,0.733074683318978,0.0106097591131021,0.717987987317044,0.748478387962108
"1805","Unaltered",81.03333333,1949,0,0.733074683318978,0.0106097591131021,0.717987987317044,0.748478387962108
"1806","Unaltered",81.06666667,1948,2,0.732322039906946,0.0106345935721504,0.717215922245697,0.747746325059626
"1807","Unaltered",81.1,1946,1,0.73194571820093,0.0106470081868806,0.716829920930477,0.74738026238812
"1808","Unaltered",81.11,1945,1,0.731569396494914,0.0106594210927167,0.716443940374565,0.747014178957432
"1809","Unaltered",81.13333333,1944,2,0.730816753082882,0.0106842418801313,0.715672041378819,0.746281949980356
"1810","Unaltered",81.2,1942,0,0.730816753082882,0.0106842418801313,0.715672041378819,0.746281949980356
"1811","Unaltered",81.33333333,1940,1,0.730440043416345,0.0106966754010016,0.715285707073875,0.74591544574365
"1812","Unaltered",81.37,1939,0,0.730440043416345,0.0106966754010016,0.715285707073875,0.74591544574365
"1813","Unaltered",81.5,1938,1,0.730063139369174,0.0107091201239912,0.714899185133705,0.745548741066044
"1814","Unaltered",81.56666667,1937,1,0.729686235322004,0.0107215632358908,0.714512683879445,0.745182015702655
"1815","Unaltered",81.567,1936,0,0.729686235322004,0.0107215632358908,0.714512683879445,0.745182015702655
"1816","Unaltered",81.57,1935,1,0.72930913649238,0.010734017620821,0.714125994545987,0.74481508954091
"1817","Unaltered",81.67,1933,0,0.72930913649238,0.010734017620821,0.714125994545987,0.74481508954091
"1818","Unaltered",81.7,1932,0,0.72930913649238,0.010734017620821,0.714125994545987,0.74481508954091
"1819","Unaltered",81.77,1930,0,0.72930913649238,0.010734017620821,0.714125994545987,0.74481508954091
"1820","Unaltered",81.8,1929,1,0.728931060216334,0.0107465350542855,0.713738278392101,0.744447238762512
"1821","Unaltered",81.9,1927,0,0.728931060216334,0.0107465350542855,0.713738278392101,0.744447238762512
"1822","Unaltered",81.93333333,1926,1,0.728552591337717,0.0107590768920421,0.713350162301461,0.744079004107091
"1823","Unaltered",82,1925,0,0.728552591337717,0.0107590768920421,0.713350162301461,0.744079004107091
"1824","Unaltered",82.1,1924,0,0.728552591337717,0.0107590768920421,0.713350162301461,0.744079004107091
"1825","Unaltered",82.2,1922,0,0.728552591337717,0.0107590768920421,0.713350162301461,0.744079004107091
